"alpha"	"CF_Gamma"	"Hydro_Gamma"
"0.85790851359971820322414259862853214145`16."	"1.5961191855878673682475627577042226192899208`27.*^-14"	1.0556604609231862e-15
"0.86051365010072533578977527213282883167`16."	"1.6776279052825823786985775555916641388340966`27.*^-14"	1.0852897215867387e-15
"0.86311878660173269040001287066843360662`16."	"1.76219254322839735652733410358852446702011286`27.*^-14"	1.1154261505020484e-15
"0.86572392310273982296564554417273029685`16."	"1.85144242462996828147365891608595052661883952`27.*^-14"	1.1460670225439213e-15
"0.8683290596037471775758831427083350718`16."	"1.94449846217065340476380957676977008063324951`27.*^-14"	1.1772091577788968e-15
"0.87093419610475431014151581621263176203`16."	"2.04201124743758953775353800376116937899736687`27.*^-14"	1.2088489141220857e-15
"0.87353933260576166475175341474823653698`16."	"2.14437664633372324229355643809605553493385689`27.*^-14"	1.2409821804105776e-15
"0.87614446910676890833968855076818726957`16."	"2.25081637278758157755044450557273747089632038`27.*^-14"	1.273604369912582e-15
"0.87874960560777615192762368678813800216`16."	"2.3618665947738814930542576380609312958255695`27.*^-14"	1.306710414291192e-15
"0.88135474210878339551555882280808873475`16."	"2.47883127692966852320322492146649700884791079`27.*^-14"	1.3402947580411979e-15
"0.88395987860979063910349395882803946733`16."	"2.60078667475154603118174928544817697837817567`27.*^-14"	1.3743513534169712e-15
"0.88656501511079788269142909484799019992`16."	"2.72774289876578593551090320718457963371167384`27.*^-14"	1.4088736558689008e-15
"0.88917015161180512627936423086794093251`16."	"2.86114412114104755910791771993057447114612661`27.*^-14"	1.4438546200053867e-15
"0.89177528811281248088960182940354570746`16."	"3.00020615849041240697969810563190705001524666`27.*^-14"	1.47928669609672e-15
"0.89438042461381972447753696542349644005`16."	"3.14583225989060688365477354020025112576065143`27.*^-14"	1.5151618271366513e-15
"0.89698556111482696806547210144344717264`16."	"3.2982221065049850210374746676723750061915789`26.*^-14"	1.5514714464767148e-15
"0.89959069761583421165340723746339790523`16."	"3.45722713629979330475268483940746160638946577`26.*^-14"	1.5882064760476543e-15
"0.90219583411684145524134237348334863782`16."	"3.62327278548304895477980830860475620363467712`26.*^-14"	1.6253573251815354e-15
"0.90480097061784869882927750950329937041`16."	"3.79617058596044296268566746244718335267505772`26.*^-14"	1.6629138900473898e-15
"0.907406107118855942417212645523250103`16."	"3.97646911853095467827741178290845310418065728`26.*^-14"	1.7008655537122814e-15
"0.91001124361986318600514778154320083559`16."	"4.16511208750141077111680167799272677337675756`26.*^-14"	1.7392011868388728e-15
"0.91261638012087042959308291756315156817`16."	"4.36222083520765395087220850685368818522018679`26.*^-14"	1.777909149029606e-15
"0.91522151662187778420332051609875634313`16."	"4.56789327634574366302302759806047718525218189`26.*^-14"	1.8169772908266524e-15
