"alpha"	"CF_Gamma"	"Hydro_Gamma"
"1.820401337792642237900508916936814785`16."	"1.9647894013317075235991850148826651422660892565`27.*^-12"	9.386012667952519e-16
"1.82742474916387975802933851809939369559`16."	"2.0844441310945283297687009136832273037006179918`27.*^-12"	8.71303676168483e-16
"1.83444816053511705611356319423066452146`16."	"2.2105897034115019267569497471900228836130055134`27.*^-12"	8.068364852230741e-16
"1.84147157190635457624239279539324343204`16."	"2.3434329252409165755130545637629025756442471216`27.*^-12"	7.452719235956226e-16
"1.84849498327759209637122239655582234263`16."	"2.4833087444047861494473071380962971711771452586`27.*^-12"	6.866618042103513e-16
"1.85551839464882961650005199771840125322`16."	"2.6305203522327076576825244809791887004742312796`27.*^-12"	6.310380992021957e-16
"1.86254180602006691458427667384967207909`16."	"2.7854455797726147282691150656178259916006360954`27.*^-12"	5.784136803109085e-16
"1.86956521739130443471310627501225098968`16."	"2.9483308031975321015615876660908461892664723594`27.*^-12"	5.287832102075238e-16
"1.87658862876254195484193587617482990026`16."	"3.1195548931200114599542257487583856978865135235`27.*^-12"	4.821241695255093e-16
"1.88361204013377925292616055230610072613`16."	"3.2996000543257549766788743894168540762389203268`27.*^-12"	4.3839800293006044e-16
"1.89063545150501677305499015346867963672`16."	"3.488502405551126846410715475265352252587011606`27.*^-12"	3.97551366394926e-16
"1.89765886287625429318381975463125854731`16."	"3.6869473125707314196542500944448015821908184631`27.*^-12"	3.595174569854874e-16
"1.90468227424749159126804443076252937317`16."	"3.8952547323293299581356179217205444802122235853`27.*^-12"	3.242174058833297e-16
"1.91170568561872911139687403192510828376`16."	"4.1138055325603728792921636965362935233664007065`28.*^-12"	2.915617151393199e-16
"1.91872909698996663152570363308768719435`16."	"4.3429695144876462194803131967797451618488172114`28.*^-12"	2.6145171871047154e-16
"1.92575250836120415165453323425026610494`16."	"4.5832983283083960737239167952687163321560732822`28.*^-12"	2.337810487165029e-16
"1.9327759197324414497387579103815369308`16."	"4.8350675614320137021593463350882152869443443485`28.*^-12"	2.0843708853359834e-16
"1.93979933110367896986758751154411584139`16."	"5.098913345327741120291630080081253583761874925`28.*^-12"	1.8530239530899293e-16
"1.94682274247491648999641711270669475198`16."	"5.375027103321293766491643622708461518363378998`28.*^-12"	1.6425607570723618e-16
"1.95384615384615378808064178883796557784`16."	"5.6642635041920495120033693000454574492563768169`28.*^-12"	1.4517510015956644e-16
"1.96086956521739130820947139000054448843`16."	"5.9669654930815750234811665236675456062282781683`28.*^-12"	1.2793554254843158e-16
"1.96789297658862882833830099116312339902`16."	"6.2833799223185656748099960805503107584324401721`28.*^-12"	1.124137340831839e-16
"1.97491638795986612642252566729439422488`16."	"6.6142467382852281188640036268130174603041885692`28.*^-12"	9.848732207007724e-17
"1.98193979933110364655135526845697313547`16."	"6.960109391691911331687934517393010693497640752`28.*^-12"	8.603622630787926e-17
"1.98896321070234116668018486961955204606`16."	"7.3215997490467234933380172023771822747050260618`28.*^-12"	7.49434879065403e-17
"1.99598662207357868680901447078213095665`16."	"7.6986659092497226780646305603242248729300590285`28.*^-12"	6.509600738736262e-17
"2.00301003344481598489323914691340178251`16."	"8.0928591772200851601834678386131543722610964138`28.*^-12"	5.638517093744237e-17
"2.01003344481605328297746382304467260838`16."	"8.5040257458232864632495136993072302797137129466`28.*^-12"	4.8707365619552004e-17
"2.01705685618729102515089834923855960369`16."	"8.9330235998253581533013943621442247682184123818`28.*^-12"	4.1964386145714124e-17
"2.02408026755852832323512302536983042955`16."	"9.3801749023808699582827765615658545724701431272`28.*^-12"	3.6063737477744224e-17
"2.03110367892976562131934770150110125542`16."	"9.8463771915721247011576174080211905223022819058`28.*^-12"	3.091883899612549e-17
"2.03812709030100336349278222769498825073`16."	"1.0332107284079339979953853887992355486772930945`28.*^-11"	2.644913726155362e-17
"2.0451505016722406615770069038262590766`16."	"1.08381218813294228372109203486216660304690638364`28.*^-11"	2.2580135470540014e-17
"2.05217391304347795966123157995752990246`16."	"1.13651943647156472073348367145401909029653045942`28.*^-11"	1.9243348575058462e-17
"2.05919732441471570183466610615141689777`16."	"1.19136891355795948729493487672205044540467593067`28.*^-11"	1.6376193702346156e-17
"2.06622073578595344400810063234530389309`16."	"1.24841340363096454179625306621401058271675089758`28.*^-11"	1.3921825989567942e-17
"2.0732441471571902980031154584139585495`16."	"1.3077523026227604343129882789985532276312560205`28.*^-11"	1.1828930263347036e-17
"2.08026755852842804017654998460784554482`16."	"1.36942984171686583141314106128242229388484686304`28.*^-11"	1.0051479179550156e-17
"2.08729096989966578234998451080173254013`16."	"1.43355810838199984265382778344582225687413531055`28.*^-11"	8.54846853673811e-18
